title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags\
Customer Retention Playbook,customer-retention-playbook,Strategies and tactics for retaining at-risk customers.,https://docs.google.com/document/d/1MnOpQrStUvWxYzAbCdEfGhIjKl/edit?usp=sharing,,,,,Enablement,document,playbook,csm|sales|gladly|Customer Success\
Design System (Figma),design-system-figma,Link to the Gladly design system in Figma.,https://www.figma.com/file/1OpQrStUvWxYzAbCdEfGhIjKlMn/Gladly-Design-System,,,,,CoE,link,tool,design|product|gladly|Design Assets\
Engineering Sprint Process,engineering-sprint-process,Description of the engineering sprint cycle and ceremonies.,https://docs.google.com/document/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,CoE,document,process,engineering|product|gladly|Process Docs\
Go-to-Market Strategy 2024,go-to-market-strategy-2024,Overarching GTM strategy for the year 2024.,https://docs.google.com/presentation/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/edit?usp=sharing,,,,,CoE,document,presentation,leadership|sales|marketing|gladly|Strategy\
Incident Post-Mortem Template,incident-post-mortem-template,Template for conducting post-mortem analysis after incidents.,https://docs.google.com/document/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,CoE,document,template,engineering|support|gladly|Process Docs\
LinkedIn Banner Images,linkedin-banner-images,Collection of branded images for LinkedIn profiles.,https://drive.google.com/drive/folders/1WxYzAbCdEfGhIjKlMnOpQrStUv?usp=sharing,,,,,CoE,folder,asset,marketing|all-company|gladly|Brand Assets\
Mobile SDK Documentation,mobile-sdk-documentation,Technical documentation for integrating the Gladly Mobile SDK.,https://developer.gladly.com/mobile-sdk,,,,,CoE,link,documentation,engineering|partners|gladly|Technical Docs\
Onboarding Checklist: Sales,onboarding-checklist-sales,Checklist of tasks for new sales hires to complete.,https://docs.google.com/document/d/1XyZqQ1fI0kL8rB7pT3o9hV5uS4x2j6mN/edit?usp=sharing,,,,,Enablement,document,checklist,sales|hr|gladly|Onboarding\
Product Marketing Framework,product-marketing-framework,Framework for launching and marketing new products.,https://docs.google.com/presentation/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,CoE,document,guide,marketing|product|gladly|Marketing Tools\
Q3 Board Deck,q3-board-deck,Presentation deck used for the Q3 Board of Directors meeting.,https://docs.google.com/presentation/d/1BcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,Content,document,presentation,leadership|investors|gladly|Board Decks\
Sales Demo Environment,sales-demo-environment,Link to the main sales demo environment.,https://demo.gladly.com/,,,,,CoE,link,tool,sales|sc|gladly|Sales Tools\
Support Escalation Matrix,support-escalation-matrix,Matrix defining escalation paths for different support issues.,https://docs.google.com/spreadsheet/d/1CdEfGhIjKlMnOpQrStUvWxYzAb/edit?usp=sharing,,,,,CoE,tool,matrix,support|engineering|gladly|Process Docs\
Travel Booking Tool,travel-booking-tool,Link to the company's travel booking platform.,https://tripactions.com/gladly,,,,,CoE,link,tool,all-company|gladly|Travel\
Video: Customer Testimonials,video-customer-testimonials,Compilation video of customer testimonials.,,https://drive.google.com/file/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/view?usp=sharing,,,,Content,video,marketing,sales|marketing|gladly|Testimonials\
Weekly Engineering Sync Notes,weekly-engineering-sync-notes,Notes from the weekly engineering team synchronization meeting.,https://docs.google.com/document/d/1GhIjKlMnOpQrStUvWxYzAbCdEf/edit?usp=sharing,,,,,CoE,document,notes,engineering|gladly|Meeting Notes\
Work From Home Policy,work-from-home-policy,Policy regarding working from home arrangements.,https://docs.google.com/document/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/edit?usp=sharing,,,,,CoE,document,policy,hr|all-company|gladly|HR Policies\
Zoom Meeting Best Practices,zoom-meeting-best-practices,Guide for conducting effective Zoom meetings.,https://docs.google.com/document/d/1KlMnOpQrStUvWxYzAbCdEfGhIj/edit?usp=sharing,,,,,CoE,document,guide,all-company|gladly|Productivity\
API Usage Guidelines,api-usage-guidelines,Guidelines for acceptable use of the Gladly API.,https://developer.gladly.com/usage-guidelines,,,,,CoE,link,guide,engineering|partners|gladly|Technical Docs\
Brand Colors Hex Codes,brand-colors-hex-codes,List of hex codes for the official brand colors.,https://docs.google.com/document/d/1MnOpQrStUvWxYzAbCdEfGhIjKl/edit?usp=sharing,,,,,CoE,document,guide,design|marketing|gladly|Brand Assets\
Case Study: Crate & Barrel,case-study-crate-and-barrel,Case study highlighting Crate & Barrel's success with Gladly.,https://gladly.com/customers/crate-and-barrel/,,,,,Content,link,case-study,sales|marketing|gladly|Case Studies\
Competitor Battlecard: Talkdesk,competitor-battlecard-talkdesk,"Competitive battlecard for Talkdesk, emphasizing their complexity and cost.",https://docs.google.com/presentation/d/1OpQrStUvWxYzAbCdEfGhIjKlMn/edit?usp=sharing,,,,,Content,document,battlecard,sales|talkdesk|gladly|Competitive Intel\
Customer Success Plan Template,customer-success-plan-template,Template for creating a customer success plan.,https://docs.google.com/document/d/1QrStUvWxYzAbCdEfGhIjKlMnO/edit?usp=sharing,,,,,CoE,document,template,csm|gladly|Customer Success\
Engineering Code Style Guide,engineering-code-style-guide,Standards for code style and formatting.,https://docs.google.com/document/d/1StUvWxYzAbCdEfGhIjKlMnOpQr/edit?usp=sharing,,,,,CoE,document,guide,engineering|gladly|Technical Docs\
Feature Request Triage Process,feature-request-triage-process,Process for triaging and prioritizing feature requests.,https://docs.google.com/document/d/1UvWxYzAbCdEfGhIjKlMnOpQrSt/edit?usp=sharing,,,,,CoE,document,process,product|support|gladly|Process Docs\
Holiday Calendar 2024,holiday-calendar-2024,Calendar of company holidays for 2024.,https://docs.google.com/document/d/1WxYzAbCdEfGhIjKlMnOpQrStUv/edit?usp=sharing,,,,,CoE,document,calendar,hr|all-company|gladly|HR Resources\
Legal Contract Templates,legal-contract-templates,Folder containing standard legal contract templates.,https://drive.google.com/drive/folders/1XyZqQ1fI0kL8rB7pT3o9hV5uS4x2j6mN?usp=sharing,,,,,CoE,folder,template,legal|sales|gladly|Legal Docs\
Marketing Event Calendar,marketing-event-calendar,Calendar of upcoming marketing events and conferences.,https://docs.google.com/spreadsheets/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,CoE,tool,calendar,marketing|sales|gladly|Marketing Tools\
New Manager Training Deck,new-manager-training-deck,Training presentation for new managers.,https://docs.google.com/presentation/d/1BcDeFgHiJkLmNoPqRsTuVwXyZ0/edit?usp=sharing,,,,,Enablement,document,presentation,hr|leadership|gladly|Training\
Product Launch Checklist,product-launch-checklist,Comprehensive checklist for launching new products.,https://docs.google.com/document/d/1CdEfGhIjKlMnOpQrStUvWxYzAb/edit?usp=sharing,,,,,CoE,document,checklist,product|marketing|gladly|Launches\
Quarterly Finance Update,quarterly-finance-update,Presentation on the company's financial performance for the quarter.,https://docs.google.com/presentation/d/1EfGhIjKlMnOpQrStUvWxYzAbCd/edit?usp=sharing,,,,,Content,document,presentation,finance|leadership|gladly|Company Reports\
Sales Discovery Questions,sales-discovery-questions,List of key questions to ask during the discovery phase.,https://docs.google.com/document/d/1GhIjKlMnOpQrStUvWxYzAbCdEf/edit?usp=sharing,,,,,Enablement,document,guide,sales|gladly|Sales Tools\
Slack Channels for Support,slack-channels-for-support,List of Slack channels dedicated to support topics.,https://docs.google.com/document/d/1IjKlMnOpQrStUvWxYzAbCdEfGh/edit?usp=sharing,,,,,CoE,document,guide,support|all-company|gladly|Support Resources\
Gladly Brand Guidelines,gladly-brand-guidelines,"This document, the Gladly Brand Guidelines, introduces the identity, guiding principles, and elements that express the Gladly brand, covering basic elements like the logotype, colors, typography, v...",https://drive.google.com/file/d/1VnyDlJmpByt7nBbAmBVXQnA4lpBnqM5v/view,,,,,Content,document,guide,sales|csm|gladly|Meeting Decks\
Gladly Brand Guidelines (High Level),gladly-brand-guidelines-high-level,"This document is the **Brand Guidelines (High Level)** presentation, designed to ensure a strong and consistent representation of the Gladly brand across all communications.",https://docs.google.com/presentation/d/10SILxH41R64hYfIngnCsO3nZfbJY7zFDGB2cA9b1FoM/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,Content,document,guide,sales|csm|gladly|Meeting Decks\
Gladly Customer AI Launch Video,gladly-customer-ai-launch-video,Customer experience leaders often struggle between providing personalized service and maintaining cost-effectiveness.,,https://gladly.wistia.com/medias/6j0k6m70k1,,,,Enablement,video,product-training,sales|csm|gladly|Sales|Customer Success\
Gladly Customer AI Video,gladly-customer-ai-video,Gladly challenges the conventional trade-offs in customer experience by introducing a fundamentally different approach with Customer AI.,https://gladly.wistia.com/medias/1gkuxekq2f,,,,,CoE,document,process-innovation,sales|csm|gladly|Best Practices\
Gladly Demo 2025,gladly-demo-2025,"Julie Chang, a loyal customer at Retali Outdoors, experiences personalized service through Sidekick, an AI engine that engages her like a human associate.",https://gladly.wistia.com/medias/mrye3schxt,,,,,Content,document,demo,sales|csm|gladly|Meeting Decks\
Gladly Eliminates Silos One Pager,gladly-eliminates-silos-one-pager,"This document, titled ""Use Case One Pager,"" explains how Gladly eliminates Customer Experience (CX) silos by fully integrating conversations into a unified, customer-first platform.",https://drive.google.com/file/d/1pY4hOMPc7YhXm2AskFHACR6Zw33MDcnR/view?usp=sharing,,,,,Content,document,one-pager,sales|gladly|Meeting Decks\
Gladly Integrations Marketplace,gladly-integrations-marketplace,Browse available integrations and partnership options for the Gladly platform.,https://www.gladly.ai/integrations/,,,,,Content,document,document,sales|gladly|Meeting Decks:First Meeting\
Gladly One Pager,gladly-one-pager,"This document is a one-pager overview of the Gladly AI-powered Customer Service Platform, designed to transform support experiences by putting the customer at the center of every service conversation.",https://drive.google.com/file/d/1bT7UvpYZ3fWHfvuc_3ZQoE8AKPnoLDul/view?usp=sharing,,,,,Content,document,one-pager,sales|gladly|Meeting Decks\
Gladly Partner Battle Card One Pager,gladly-partner-battle-card-one-pager,"This document is the ""Partner One Pager"" or ""Gladly Battlecard,"" providing an overview of Gladly's AI-powered customer service platform.",https://drive.google.com/file/d/17_9LCwnL9BH1ZfoeLQOhHPqn7RHNN-If/view?usp=drive_link,,,,,Content,document,battlecard,sales|csm|gladly|Meeting Decks\
Gladly Platform Demo Guide & Script | Q2 2025 Demo Certification,gladly-platform-demo-guide-script-q2-2025-demo-certification,This document is the comprehensive Gladly Platform Demo Guide & Script for the Q2 2025 Demo Certification.,,https://docs.google.com/presentation/d/12YzsXee5kkEtBO9vTFsI2SEfJrkjhd2zpVgqtNEwDT8/edit?slide=id.p1#slide=id.p1,,,,Enablement,video,internal-ops,csm|sc|gladly|Customer Success|Solutions Consultant\
Gladly Reports and Insights,gladly-reports-and-insights,Reporting walkthrough format improves clarity for customer conversations Why It Matters: A simplified presentation format makes reporting easier to explain.,https://docs.google.com/presentation/d/1K3vl9yFqU54gkf1C0nhABoFxm0kLCY5Ci7r5DQT240E/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,CoE,document,meeting-asset,impl|gladly|Meeting Examples\
Gladly Sales Process: S0 \uc0\u8594  S1,gladly-sales-process-s0-s1,Sales process Stage 0 to Stage 1,,,,,,Enablement,document,product-training,gladly\
Gladly Sidekick Video,gladly-sidekick-video,"In a world where most AI systems deflect rather than engage, Sidekick emerges as a game-changer by providing a human-like interaction experience.",,https://gladly.wistia.com/medias/xzm9o5gpsl,,,,Enablement,video,product-training,sales|csm|gladly|Sales|Customer Success\
Gladly Slide Template,gladly-slide-template,"This document is the Gladly Slide Template 2025, a comprehensive guide designed to ensure all presentations align with the Gladly brand identity.",https://docs.google.com/presentation/d/19gVbxwGuKvJKGDLAyRg_q_wJPcNXhSef-UgaQohEXCI/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,Content,document,template,sales|csm|gladly|Meeting Decks\
Gladly Trust (Security & Compliance),gladly-trust-security-compliance,"Security certifications, compliance documentation, and trust center resources.",https://trust.gladly.com/,,,,,Content,document,document,sales|gladly|Meeting Decks\
Gladly Value Based Selling Series Video,gladly-value-based-selling-series-video,Video series on Gladly value-based selling methodology and techniques.,https://drive.google.com/file/d/1UyX7dPuJtPFywtYQR_ZL068oL2TTDeaW/view,,,,,CoE,tool,internal-best-practice,sales|gladly|Best Practices\
Gorgias Battlecard,gorgias-battlecard,"This document is a competitive battle card, last updated in November 2025, positioning Gladly against Gorgias, an e-commerce customer service platform.",https://drive.google.com/file/d/18QRQimV3gSjfZw7uSsFfXBLxICy0_qFg/view?usp=drive_link,,,,,Content,document,battlecard,sales|csm|gladly|Meeting Decks\
Gorgias Demo Mockup,gorgias-demo-mockup,Demo mockup showing Sidekick integration with Gorgias environment.,https://www.figma.com/proto/JVHhluYSGETGxAxvq4TqOz/Sidekick-Standalone?node-id=383-5145&p=f&t=7UKU37sAUUQNIxIF-0&scaling=contain&content-scaling=fixed&page-id=143%3A883&starting-point-node-id=383%3A5145,,,,,Content,document,demo,sales|csm|gladly|Meeting Decks\
Guides & Journeys One-Pager,guides-journeys-one-pager,Proactive guidance product overview,https://drive.google.com/file/d/1AqXx3BV7UtlUeiovr20Dsc1Rc2qS-u9f/view,,,,,Content,document,one-pager,sales|gladly|Uncategorized\
Guides Sales Prototype,guides-sales-prototype,"This document, titled ""Product Prototypes + Scripts 2025,"" contains information, scripts, and directions for two features further out on the product roadmap: the Guides Prototype and the Sidekick S...",https://docs.google.com/document/d/10YIgb8-OUFY7K_fbhXZByC30PqgLfDZ4HLPqN-9e6Go/edit?tab=t.e47fz4z840sx#heading=h.d25glnaujae3,,,,,Content,document,document,sales|sc|guides|Meeting Decks\
Guides and Journeys,guides-and-journeys,Guides and Journeys feature training,,,,,,Enablement,document,product-training,guides|journeys\
Guides and Journeys One Pager,guides-and-journeys-one-pager,"This document is a product one-pager for Gladly Customer AI's Guides and Journeys for Sidekick, designed to let customer teams own their AI strategy without needing IT support or technical expertise.",https://drive.google.com/file/d/1AqXx3BV7UtlUeiovr20Dsc1Rc2qS-u9f/view,,,,,Content,document,one-pager,sales|guides|journeys|Meeting Decks\
Hex Answers Performance,hex-answers-performance,Hex analytics dashboard for measuring Sidekick Answers performance across organizations.,https://www.google.com/url?q=https%3A%2F%2Fapp.hex.tech%2F5fc41969-6b7a-495f-a378-414a6e730bc5%2Fapp%2F8aa59230-60a3-40b0-ad5d-61fa5c7d1116%2Flatest%3Ftab%3Dorg-level&sa=D&sntz=1&usg=AOvVaw0SEcCIs0ToDkV3tq3LX3tH,,,,,CoE,document,internal-best-practice,sales|csm|gladly|Best Practices\
Hex Journey For guides Report,hex-journey-for-guides-report,Hex report tracking Journey for Guides performance and customer engagement metrics.,https://www.google.com/url?q=https%3A%2F%2Fapp.hex.tech%2F5fc41969-6b7a-495f-a378-414a6e730bc5%2Fapp%2FJourneys-for-Guides-Report-2a6f6vphifGwHLgxf1Gael%2Flatest&sa=D&sntz=1&usg=AOvVaw0Gz_E1i_JHmVNfLUIe7FyB,,,,,CoE,document,internal-best-practice,sales|csm|guides|Best Practices\
How RevOps Launches (Launch Tiering),how-revops-launches-launch-tiering,Launch tiering documentation,https://docs.google.com/document/d/1Sobop3Di3Y5op6yRL-me8D9-cbEHRkeeor2mVlJRCgE/edit,https://docs.google.com/document/d/1Sobop3Di3Y5op6yRL-me8D9-cbEHRkeeor2mVlJRCgE/edit?usp=sharing,,,,Content,document,document,gladly|Uncategorized\
How To Work With RevOps,how-to-work-with-revops,Guide on working with RevOps team,https://docs.google.com/document/d/1Yi5C5X6SsKeMx0mLloP_kR1gQk9wc3sJL6h-peJbfXw/edit,https://docs.google.com/document/d/1Yi5C5X6SsKeMx0mLloP_kR1gQk9wc3sJL6h-peJbfXw/edit?usp=sharing,,,,Content,document,guide,gladly|Uncategorized\
How to set up an App,how-to-set-up-an-app,The video guides viewers through the process of integrating apps built by Gladly.,https://gladly.wistia.com/medias/pd782zyft1,,,,,Content,document,guide,sales|csm|gladly|Meeting Decks\
Implementation Template: 201 SC,implementation-template-201-sc,"This document is the ""Implementation Template: 201 Solutions Consultant"" deck, intended for use during the customer scoping phase to prepare a proposal, clarify customer needs, and introduce implem...",https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,,,,,Content,document,document,sales|csm|sc|impl|gladly|Meeting Decks\
Inbound Content Tracker,inbound-content-tracker,"This spreadsheet, named ""Gladly Editorial Tracker,"" is used to monitor and manage editorial content projects.",https://docs.google.com/spreadsheets/d/1zpjKQfkjY0503zAhMlGVFxtkhJ-iblFiHVREZBFOiMk/edit?gid=1563328928#gid=1563328928,,,,,Content,document,document,sales|csm|gladly|Meeting Decks\
Integration Depth: Customer Success Patterns,integration-depth-customer-success-patterns,"This guide demonstrates how integration depth directly correlates with Sidekick resolution performance, providing a framework for building technical capabilities that drive results.",https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.bymvtz37h9kt,,,,,CoE,document,internal-best-practice,sales|csm|impl|gladly|Best Practices\
Intercom Fin Battlecard,intercom-fin-battlecard,"This document is a competitive battle card detailing the strengths and weaknesses of Intercom Fin, a high-performing AI agent, to help Gladly's sales team position their platform against it.",https://drive.google.com/file/d/1hxDSNP-QyNMETjwxSv5PQ42kIHAmuh6y/view?usp=drive_link,,,,,Content,document,battlecard,sales|gladly|Meeting Decks\
Intercom Fin Sidekick Battle Card (External),intercom-fin-sidekick-battle-card-external,"This document is a Competitor Battlecard that provides a comparison between Gladly's Customer AI product, Sidekick, and the Intercom Fin AI chatbot.",https://drive.google.com/file/d/1it3W8ly3oDsj25SOr-cEkkpnD_pxcyEX/view,,,,,Content,document,battlecard,sales|gladly|Meeting Decks\
Internal Segmentation Guide,internal-segmentation-guide,Internal segmentation methodology,https://docs.google.com/document/d/1ccNh6ZByNbiYr4zDymvM1TQQF6JZ3JAGSOwHYIXXATM/edit,,,,,Content,document,guide,sales|gladly|Uncategorized\
Intro Deck Sidekick Email,intro-deck-sidekick-email,"This presentation outlines the launch and capabilities of 'Sidekick Email,' a feature designed to address the challenges of long, unstructured, and backlog-prone email support.",https://docs.google.com/presentation/d/1Tc8wCa4b9Z7twKWEzALmw4fZXzMDmVjUDCXKOijQIoU/edit?slide=id.g32b5dfa9669_0_4#slide=id.g32b5dfa9669_0_4,,,,,Content,slides,deck,sales|csm|gladly|Meeting Decks\
Journey For Answers Technical AMA + White Glove Service,journey-for-answers-technical-ama-white-glove-service,Technical Q&A and services,,,,,,Enablement,document,product-training,gladly\
July All Hands,july-all-hands,July all hands meeting,https://drive.google.com/drive/folders/1rn3LiHevDt4ycc6IpJyoo3W3vSOeZ6qa,https://drive.google.com/drive/folders/1rn3LiHevDt4ycc6IpJyoo3W3vSOeZ6qa,,,,Enablement,document,product-training,gladly\
June GTM All Hands,june-gtm-all-hands,June GTM all hands,,,,,,Enablement,document,product-training,gladly\
Kustomer Battlecard,kustomer-battlecard,Competitive battlecard with knockout positioning against Kustomer.,https://docs.google.com/document/d/1z-ePQ3ApRnIdaZYaoJt03_MT5IibRID6TOgDqpYXslo/edit?usp=drive_link,,,,,Content,document,battlecard,sales|csm|gladly|Meeting Decks\
Kustomer Competitor Knockout Play,kustomer-competitor-knockout-play,This play is designed to re-engage closed-lost opportunities from Kustomer by leveraging recent changes at Kustomer.,,https://docs.google.com/document/d/1Qch86aH3u8v3R7cV5nWGPTKuOhzeolOHYOuTGMYWXCA/edit?tab=t.0,,,,Enablement,playbook,competitive,sales|gladly|Sales\
Kustomer Demo Mockup,kustomer-demo-mockup,Demo mockup showing Sidekick integration with Kustomer environment.,https://www.figma.com/proto/JVHhluYSGETGxAxvq4TqOz/Sidekick-Standalone?node-id=272-7864&p=f&t=dXMGHj3v8Gej0hIV-0&scaling=contain&content-scaling=fixed&page-id=143%3A882&starting-point-node-id=272%3A7861,,,,,Content,document,demo,sales|csm|gladly|Meeting Decks\
Linc Battle Card 2024,linc-battle-card-2024,"The ""Linc Battle Card 2024"" is a competitive document comparing Gladly Sidekick with the competitor Linc.",https://docs.google.com/document/d/1vpQ9pWOMhNjA-bzMeMZAsegTaiHU6QgTLjigIlvfy28/edit?usp=drive_link,,,,,Content,document,battlecard,sales|csm|gladly|Meeting Decks\
Live Customer Example Play Library,live-customer-example-play-library,This play allows prospects to experience Gladly in a real-world setting using live customer environments.,,https://docs.google.com/document/d/1yJV4fHvPCu99QqMKr2QuB2_MSacc-nNiEOKj_kfCLqE/edit?tab=t.0#heading=h.tjb0gwcnipxo,,,,Enablement,playbook,value-realization,sales|gladly|Sales\
MEDPICCC Scorecard Template,medpiccc-scorecard-template,"This spreadsheet appears to be a sales methodology or deal qualification checklist, using criteria like Metrics, Economic Buyer, Decision Criteria, and Champion, indicated by the acronyms in the fi...",https://docs.google.com/spreadsheets/d/1IEQ8w-FyK91FRismy5oOW3OKfJDSlaccdK8vqRlvL-U/edit?gid=0#gid=0,,,,,CoE,tool,tool,sales|gladly|Best Practices\
MM/ENT Closing Excellence S4 \uc0\u8594  Close,mment-closing-excellence-s4-close,Mid-market/Enterprise closing excellence training,,,,,,Enablement,document,product-training,gladly\
MaestoQA + Gladly Slides,maestoqa-gladly-slides,"This is the **MaestroQA | Tech Alliance Partner (Gladly Field Enablement Deck)**, which outlines MaestroQA's omni-channel Quality Assurance and CX Insights solution for next-generation customer ser...",,https://docs.google.com/presentation/d/1OM_aNQgUp8MKVLPf1LdK8jkdsTeAUfGTakCPvsmalEI/edit,,,,Enablement,video,partner,csm|gladly|Customer Success\
MaestroQA + Gladly Slides,maestroqa-gladly-slides,MaestroQA partnership training,,,,,,Enablement,document,product-training,gladly\
Marketing Attribution Guide,marketing-attribution-guide,Marketing attribution methodology,https://docs.google.com/presentation/d/18732hX3L2Hm5ySPYd78K_UzoqEWVKbvGcGJVIcn7oQM/edit,,,,,Content,slides,deck,sales|gladly|Meeting Decks\
Marketing Dashboard,marketing-dashboard,Marketing performance dashboard,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000001rOrdMAE/view,,,,,Content,document,document,sales|csm|gladly|Uncategorized\
Marketing Efficiency Metrics,marketing-efficiency-metrics,Marketing efficiency documentation,https://docs.google.com/document/d/1yJFu07fKdeAyOgFFJBZKmFQTajAAbsuwxMtiWxXFYYE/edit,,,,,Content,document,report,gladly|Uncategorized\
Marketplace Sequence Messaging,marketplace-sequence-messaging,"This document contains a structured, multi-step sales outreach sequence, titled ""High Volume Marketplace Sequence Messaging,"" designed for engaging potential clients in the marketplace sector.",https://docs.google.com/document/d/1A3e5Q5vYkOZJo4i14hdfHDXH8ewCo9TTz0699FqEkU0/edit?tab=t.0#heading=h.fe2qyuv9l64q,,,,,CoE,document,tool,sales|gladly|Best Practices}
Sales to CS Handoff Template,sales-to-cs-handoff-template,"This document is a ""Sales to CSM Hand-Off Sheet"" template designed to facilitate a smooth transition of a customer account from the sales team to the Customer Success Management (CSM) team.",https://docs.google.com/document/d/1M0rIA7QBIgUsW3FjVgtZDA_46g9ZYp0C8VQ_7NAHnpo/edit?tab=t.0#heading=h.cfwyuyvb0ol1,,,,,CoE,document,tool,sales|csm|impl|gladly|Best Practices\
Salesforce Agent Sidekick Battle Card (External),salesforce-agent-sidekick-battle-card-external,Salesforce comparison (shareable),,,,,,Content,document,battlecard,gladly\
Salesforce Agent SidekickBattle Card (External),salesforce-agent-sidekickbattle-card-external,This document is a competitor battlecard comparing Salesforce Agentforce and Sidekick.,https://drive.google.com/file/d/1T30zPp-W1jWX7vCrU5IP5ZN-6IdoyEqv/view,,,,,Content,document,battlecard,sales|gladly|Meeting Decks\
Salesforce Demo Mockup,salesforce-demo-mockup,Demo mockup showing Sidekick integration with Salesforce Service Cloud.,https://www.figma.com/proto/JVHhluYSGETGxAxvq4TqOz/Sidekick-Standalone?node-id=325-24720&p=f&t=dXMGHj3v8Gej0hIV-0&scaling=contain&content-scaling=fixed&page-id=274%3A7982&starting-point-node-id=325%3A24717,,,,,Content,document,demo,sales|gladly|Meeting Decks\
Salesforce Guide,salesforce-guide,"This document, the ""CS Salesforce Guide,"" serves as a comprehensive resource for understanding key Customer Success (CS) opportunity fields in Salesforce.",https://docs.google.com/document/d/1cYQAXEPb3wb8XxzDJMdaCzMtEvyUSb_VwJc-dMsDUJc/edit?usp=sharing,,,,,Content,tool,document,sales|csm|gladly|Meeting Decks\
Salesforce Guide (CS),salesforce-guide-cs,Salesforce usage guide for CS,https://docs.google.com/document/d/1cYQAXEPb3wb8XxzDJMdaCzMtEvyUSb_VwJc-dMsDUJc/edit,,,,,Content,document,guide,csm|gladly|Uncategorized\
Salesforce Guide (Sales),salesforce-guide-sales,Salesforce usage guide for sales,https://docs.google.com/document/d/1S-6K8kPROoVJIKYsS0qF1Sffw4K-itn5gfKvdsCOwl4/edit,,,,,Content,document,guide,sales|gladly|Uncategorized\
Salesforce Service Cloud Battle Card 2024,salesforce-service-cloud-battle-card-2024,"This document is the ""Salesforce Service Cloud Battle Card,"" designed for Gladly sales teams to compete against Salesforce Service Cloud.",https://docs.google.com/document/d/1C959ewp303oQtG_qcsB7Wyipq8AIe5bpY-uLh2ncDFo/edit?usp=drive_link,,,,,Content,document,battlecard,sales|impl|gladly|Meeting Decks\
Self-Guided Implementation One Pager,self-guided-implementation-one-pager,"This document is a one-pager on Gladly's ""Self-Guided Gladly Implementation,"" which is a flexible option for teams with less than 10 agents to configure the essential features of the platform at th...",https://drive.google.com/file/d/1w4S1IzIN7-JEjyi_7UhhWWc0LG0Bpd6s/view?usp=drive_link,,,,,Content,document,one-pager,impl|gladly|Meeting Decks\
Selling High + FM Deck,selling-high-fm-deck,High-value selling training,,,,,,Enablement,document,product-training,gladly\
Selling Sidekick Standalone for Zendesk,selling-sidekick-standalone-for-zendesk,"Learn how Gladly sales teams successfully sell the Sidekick standalone offering for Zendesk, including key strategies, customer case studies, and best practices.",,https://drive.google.com/file/d/1DrCVPlu_WJK4zmTgk6IDvfTuEMeeanEw/view,,,,Content,document,document,gladly|Uncategorized\
Sidekick Adoption Playbook,sidekick-adoption-playbook,"The purpose of this playbook is to empower Gladly\'92s Account Management and Customer Success teams with the insights, actions, and resources they need to drive meaningful adoption of Sidekick \'96 acro...",https://docs.google.com/document/d/1jZSBq3GSv5iA33ZwAvv0dLGFQmKf2l4bIFVPZvr2T2g/edit?usp=drive_link,https://docs.google.com/document/d/1jZSBq3GSv5iA33ZwAvv0dLGFQmKf2l4bIFVPZvr2T2g/edit?usp=drive_link,,,,CoE,playbook,internal-best-practice,csm|gladly|Best Practices|Playbooks\
Sidekick Answers & Actions Best Practice,sidekick-answers-actions-best-practice,"The purpose of this playbook is to understand applied examples and learnings from our Design, PS, TAM, product and engineering team on Answers and Actions best practices.",https://docs.google.com/document/d/17xw1-c5Is6tDT7mwR3ZejHhjlU1sanRfdiSjjQrgAbU/edit?tab=t.6jyoekj0psl#heading=h.ln4hvsxicr78,,,,,CoE,document,internal-best-practice,sales|csm|gladly|Best Practices\
Sidekick Answers + Actions | Best Practices,sidekick-answers-actions-best-practices,"This collection of documents serves as the comprehensive ""single source of truth"" for the Sidekick Answers and Actions product, providing best practices, setup guides, and key resources.",https://docs.google.com/document/d/17xw1-c5Is6tDT7mwR3ZejHhjlU1sanRfdiSjjQrgAbU/edit?tab=t.6jyoekj0psl#heading=h.ln4hvsxicr78,,,,,CoE,document,internal-best-practice,sales|csm|gladly|Best Practices\
