title,slug,description,shortDescription,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,boards,status,durationMinutes,views,shares,createdAt
Ada - 30% increase in Automated Resolution Rate,competitor-ada-30-increase-in-automated-resolutio,30% increase in Automated Resolution Rate | KPI: Resolution rates | Type: Marketing claim,Ada claims 30%,,,,,,coe,proof-point,competitor-stat,ada|competitive|competitor-stat|proof-point,coe,published,,0,0,2025-12-28T15:27:13.547Z
Ada - 5x ROI in just 12 months,competitor-ada-5x-roi-in-just-12-months,5x ROI in just 12 months | KPI: ROI | Type: Marketing claim,Ada claims 5x,,,,,,coe,proof-point,competitor-stat,ada|competitive|competitor-stat|proof-point,coe,published,,0,0,2025-12-28T15:27:13.547Z
Ada - AI Agent that can immediately resolve over 70% of inquiries,competitor-ada-ai-agent-that-can-immediately-resol,"AI Agent that can immediately resolve over 70% of inquiries | Source: Website | KPI: Conversation Volume, Resolution rates | Type: Marketing claim",Ada claims AI,https://www.ada.cx/platform/?utm_campaign=&utm_medium=&utm_source=google&utm_term=&utm_content=&hsa_acc=5466190196&hsa_cam=20886537256&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjwyJqzBhBaEiwAWDRJVJjbumSNtxCYWXKje2j_K4gYFNFt9cJOT8GzUtoXrN8j6m_qgyox0hoCye4QAvD_BwE#:~:text=AI%20Agent%20that%20can%20immediately%20resolve%20over%2070%25%20of%20inquiries,,,,,coe,proof-point,competitor-stat,ada|competitive|competitor-stat|proof-point,coe,published,,0,0,2025-12-28T15:27:13.547Z
Intercom - 31% increase in resolutions per day,competitor-intercom-31-increase-in-resolutions-pe,31% increase in resolutions per day | Source: Lightspeed Testimonial | KPI: Resolution rates | Type: Branded case study/testimonial,Intercom claims 31%,https://www.intercom.com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|intercom|proof-point|Intercom,coe,published,,0,0,2025-12-28T15:27:13.547Z
Intercom - 40% AI Deflection Rate,competitor-intercom-40-ai-deflection-rate,40% AI Deflection Rate | Source: Culture Amp Testimonial | KPI: Attainment/deflection | Type: Branded case study/testimonial,Intercom claims 40%,https://www.intercom.com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|intercom|proof-point|Intercom,coe,published,,0,0,2025-12-28T15:27:13.547Z
Intercom - 42% AI resolution rate,competitor-intercom-42-ai-resolution-rate,42% AI resolution rate | Source: Zapiet Testimonial | KPI: Resolution rates | Type: Branded case study/testimonial,Intercom claims 42%,https://www.intercom.com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|intercom|proof-point|Intercom,coe,published,,0,0,2025-12-28T15:27:13.547Z
Intercom - 91.6% automated answer rate,competitor-intercom-91-6-automated-answer-rate,91.6% automated answer rate | Source: TravelPerk Testimonial | KPI: Resolution rates | Type: Branded case study/testimonial,Intercom claims 91.6%,https://www.intercom.com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|intercom|proof-point|Intercom,coe,published,,0,0,2025-12-28T15:27:13.547Z
Intercom - 95% CSAT Score,competitor-intercom-95-csat-score,95% CSAT Score | Source: Culture Amp Testimonial | KPI: CSAT | Type: Branded case study/testimonial,Intercom claims 95%,https://www.intercom.com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|intercom|proof-point|Intercom,coe,published,,0,0,2025-12-28T15:27:13.547Z
Intercom - 98% CSAT,competitor-intercom-98-csat,98% CSAT | Source: Azazi Testimonial | KPI: CSAT | Type: Branded case study/testimonial,Intercom claims 98%,https://www.intercom.com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|intercom|proof-point|Intercom,coe,published,,0,0,2025-12-28T15:27:13.547Z
"Intercom - Fin AI Agent resolves 50% of support volume, instantly",competitor-intercom-fin-ai-agent-resolves-50-of-s,"Fin AI Agent resolves 50% of support volume, instantly | Source: Intercom Website | KPI: Resolution rates | Type: Marketing claim",Intercom claims Fin,https://www.intercom.com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|intercom|proof-point|Intercom,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - 3-year benefit of avoiding an average of $21.3M in costs tho,competitor-kustomer-3-year-benefit-of-avoiding-an,3-year benefit of avoiding an average of $21.3M in costs though by automating workflows and issue resolution | Source: TEI Study | KPI: Cost avoidance | Type: Analyst study,Kustomer competitive data point,https://www.kustomer.com/wp-content/uploads/2023/12/REP_TEI.pdf,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - 422% ROI,competitor-kustomer-422-roi,422% ROI | Source: TEI Study | KPI: ROI | Type: Analyst study,Kustomer claims 422%,https://www.kustomer.com/wp-content/uploads/2023/12/REP_TEI.pdf,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Decreased Voice Handle Times by 30%,competitor-kustomer-decreased-voice-handle-times-b,Decreased Voice Handle Times by 30% | Source: Untuckit case study | KPI: Average handle times | Type: Branded case study/testimonial,Kustomer claims Decreased,https://www.kustomer.com/case-study/untuckit/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Deflect up to 84% of requests on average while maintaining a,competitor-kustomer-deflect-up-to-84-of-requests,"Deflect up to 84% of requests on average while maintaining a high satisfaction rating | Source: Glovo case study | KPI: Attainment/deflection, CSAT, Resolution rates | Type: Branded case study/testimonial",Kustomer claims Deflect,https://www.kustomer.com/case-study/glovo-case-study/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Increase Agent Efficiency By 65%,competitor-kustomer-increase-agent-efficiency-by-6,Increase Agent Efficiency By 65% | Source: Website | KPI: Agent efficiency | Type: Marketing claim,Kustomer claims Increase,https://www.kustomer.com/product/kiq-agent-assist/#:~:text=Increase%20Agent%20Efficiency%20By%2065%25,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Increase in Agent Productivity by 25%,competitor-kustomer-increase-in-agent-productivity,Increase in Agent Productivity by 25% | Source: Untuckit case study | KPI: Agent efficiency | Type: Branded case study/testimonial,Kustomer claims Increase,https://www.kustomer.com/case-study/untuckit/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Increased agent efficiency and effectiveness by up to 30% wi,competitor-kustomer-increased-agent-efficiency-and,"Increased agent efficiency and effectiveness by up to 30% with workflow automation. | Source: TEI Study | KPI: Agent efficiency, Time savings | Type: Analyst study",Kustomer claims Increased,https://www.kustomer.com/wp-content/uploads/2023/12/REP_TEI.pdf,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Increased agent efficiency by 50% from pairing human with au,competitor-kustomer-increased-agent-efficiency-by,"Increased agent efficiency by 50% from pairing human with automation. | Source: TEI Study | KPI: Agent + AI assistance, Agent efficiency | Type: Analyst study",Kustomer claims Increased,https://www.kustomer.com/wp-content/uploads/2023/12/REP_TEI.pdf,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Reduced costs by 88% via conversation automation with chatbo,competitor-kustomer-reduced-costs-by-88-via-conve,Reduced costs by 88% via conversation automation with chatbots | Source: TEI Study | KPI: Cost savings | Type: Analyst study,Kustomer claims Reduced,https://www.kustomer.com/wp-content/uploads/2023/12/REP_TEI.pdf,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Reduced net cost of CRM tool by 40%.,competitor-kustomer-reduced-net-cost-of-crm-tool-b,Reduced net cost of CRM tool by 40%. | Source: TEI Study | KPI: Cost avoidance | Type: Analyst study,Kustomer claims Reduced,https://www.kustomer.com/wp-content/uploads/2023/12/REP_TEI.pdf,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Kustomer - Reducing Queries by 45%,competitor-kustomer-reducing-queries-by-45,Reducing Queries by 45% | Source: Website | KPI: Conversation Volume | Type: Marketing claim,Kustomer claims Reducing,https://www.kustomer.com/product/kiq-customer-assist/#:~:text=Reducing%20Queries%20by%2045%25,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|kustomer|proof-point|Kustomer,coe,published,,0,0,2025-12-28T15:27:13.547Z
Sierra.ai - 10% increase in member engagement,competitor-sierra-ai-10-increase-in-member-engage,10% increase in member engagement | Source: Weight Watchers | Type: Branded case study/testimonial,Sierra.ai claims 10%,https://sierra.ai/customers/weightwatchers,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|sierra.ai,coe,published,,0,0,2025-12-28T15:27:13.547Z
Sierra.ai - 25% AHT reduction,competitor-sierra-ai-25-aht-reduction,25% AHT reduction | Source: Sirius XM | Type: Branded case study/testimonial,Sierra.ai claims 25%,https://sierra.ai/customers/siriusxm,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|sierra.ai,coe,published,,0,0,2025-12-28T15:27:13.547Z
Sierra.ai - 30% reduction in response times,competitor-sierra-ai-30-reduction-in-response-tim,30% reduction in response times | Source: Sonos | Type: Branded case study/testimonial,Sierra.ai claims 30%,https://sierra.ai/customers/sonos,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|sierra.ai,coe,published,,0,0,2025-12-28T15:27:13.547Z
Sierra.ai - 4.5/5 CSAT,competitor-sierra-ai-4-5-5-csat,4.5/5 CSAT | Source: OluKai Customer Story | KPI: CSAT | Type: Branded case study/testimonial,Sierra.ai competitive data point,https://sierra.ai/customers/olukai,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|sierra.ai,coe,published,,0,0,2025-12-28T15:27:13.547Z
Sierra.ai - 4.5/5 CSAT,competitor-sierra-ai-4-5-5-csat-1,4.5/5 CSAT | Source: Weight Watcher Customer Story | KPI: CSAT | Type: Branded case study/testimonial,Sierra.ai competitive data point,https://sierra.ai/customers/weightwatchers,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|sierra.ai,coe,published,,0,0,2025-12-28T15:27:13.547Z
Sierra.ai - 50% resolution rate,competitor-sierra-ai-50-resolution-rate,50% resolution rate | Source: OluKai Customer Story | KPI: Resolution rates | Type: Branded case study/testimonial,Sierra.ai claims 50%,https://sierra.ai/customers/olukai,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|sierra.ai,coe,published,,0,0,2025-12-28T15:27:13.547Z
Sierra.ai - 70% resolution rate,competitor-sierra-ai-70-resolution-rate,70% resolution rate | Source: Weight Watcher Customer Story | Type: Branded case study/testimonial,Sierra.ai claims 70%,https://sierra.ai/customers/weightwatchers,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|sierra.ai,coe,published,,0,0,2025-12-28T15:27:13.547Z
"Zendesk - $21,461 annual help center savings",competitor-zendesk-21-461-annual-help-center-savi,"$21,461 annual help center savings | Source: Liberty case study | KPI: Cost savings | Type: Branded case study/testimonial",Zendesk competitive data point,https://www.zendesk.com/customer/liberty-london/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 11% decrease in resolution time,competitor-zendesk-11-decrease-in-resolution-time,"11% decrease in resolution time | Source: Liberty case study | KPI: Average handle times, Resolution rates | Type: Branded case study/testimonial",Zendesk claims 11%,https://www.zendesk.com/customer/liberty-london/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 17% decrease in resolution time,competitor-zendesk-17-decrease-in-resolution-time,"17% decrease in resolution time | Source: Photobucket | KPI: Average handle times, Conversation Volume, Resolution rates | Type: Branded case study/testimonial",Zendesk claims 17%,https://www.zendesk.com/customer/photobucket/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 18% decrease in resolution time,competitor-zendesk-18-decrease-in-resolution-time,"18% decrease in resolution time | Source: Wine.com case study | KPI: Average handle times, Resolution rates | Type: Branded case study/testimonial",Zendesk claims 18%,https://www.zendesk.com/customer/wine-com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 286% ROI,competitor-zendesk-286-roi,286% ROI | Source: TEI Analyst Report | KPI: ROI | Type: Analyst study,Zendesk claims 286%,https://www.zendesk.com/blog/total-economic-impact-of-zendesk/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 30% decrease in ticket volume,competitor-zendesk-30-decrease-in-ticket-volume,30% decrease in ticket volume | Source: Photobucket | KPI: Conversation Volume | Type: Branded case study/testimonial,Zendesk claims 30%,https://www.zendesk.com/customer/photobucket/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 55% decrease in time to first response,competitor-zendesk-55-decrease-in-time-to-first-r,"55% decrease in time to first response | Source: Wine.com case study | KPI: Time savings, Time to first response | Type: Branded case study/testimonial",Zendesk claims 55%,https://www.zendesk.com/customer/wine-com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 73% decrease in time to first response,competitor-zendesk-73-decrease-in-time-to-first-r,"73% decrease in time to first response | Source: Liberty case study | KPI: Average handle times, Time to first response | Type: Branded case study/testimonial",Zendesk claims 73%,https://www.zendesk.com/customer/liberty-london/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 9% increase in CSAT,competitor-zendesk-9-increase-in-csat,9% increase in CSAT | Source: Liberty case study | KPI: CSAT | Type: Branded case study/testimonial,Zendesk claims 9%,https://www.zendesk.com/customer/liberty-london/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 91% CSAT,competitor-zendesk-91-csat,91% CSAT | Source: Wine.com case study | KPI: CSAT | Type: Branded case study/testimonial,Zendesk claims 91%,https://www.zendesk.com/customer/wine-com/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 95% CSAT,competitor-zendesk-95-csat-1,95% CSAT | Source: Grove case study | KPI: CSAT | Type: Branded case study/testimonial,Zendesk claims 95%,https://www.zendesk.com/customer/grove/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 95% CSAT,competitor-zendesk-95-csat,95% CSAT | Source: Thrasio case study | KPI: CSAT | Type: Branded case study/testimonial,Zendesk claims 95%,https://www.zendesk.com/customer/thrasio/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Zendesk - 96% CSAT,competitor-zendesk-96-csat,96% CSAT | Source: Photobucket | KPI: CSAT | Type: Branded case study/testimonial,Zendesk claims 96%,https://www.zendesk.com/customer/photobucket/,,,,,coe,proof-point,competitor-stat,competitive|competitor-stat|proof-point|zendesk|Zendesk,coe,published,,0,0,2025-12-28T15:27:13.547Z
Conde Nast - Efficiency transformation,quote-conde-nast-every-conversation-now-drives,"Every conversation now drives efficiency and deepens loyalty. It’s not either/or anymore, it’s both, always.” Mike Beaubrun - Dir, global Head of CX Conde Nast",Conde Nast on efficiency improvement,,,,,,coe,proof-point,customer-quote,conde-nast|customer-quote|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Conde Nast - Cost savings achieved,quote-conde-nast-we-saved-costs-without-sacrif,"“We saved costs without sacrificing a single shred of our brand identity. In fact, Gladly helped reinforce it at every touchpoint.”Mike Beaubrun - Dir, global Head of CX, Conde Nast",Conde Nast on cost savings,,,,,,coe,proof-point,customer-quote,conde-nast|customer-quote|proof-point,coe,published,,0,0,2025-12-28T15:27:13.739Z
Consumption Dashboard,consumption-dashboard,Dashboard monitoring customer consumption patterns and usage trends.,Best practice for consumption dashboard,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002gUYPMA2/view,,,,,coe,tool,internal-best-practice,csm|customer-success|insights|insights-dashboards|Insights,coe,published,,0,0,2025-12-28T08:20:23.496Z
Content Cheat Sheet,content-cheat-sheet,Content Cheat Sheet from Gladly Content Team with mission resources and Q3 2025 priorities.,Step-by-step content cheat sheet guidance,https://docs.google.com/document/d/1wQGGRdwZEQIUoTYM-g50Qn5m90cSTCpiQ7-jDUPhk7o/edit,,,,,content,document,guide,content|marketing|mktg|priorities|resources|Marketing,content,published,,0,0,2025-12-28T09:00:03.135Z
Content Garden,content-garden,Comprehensive inventory of content assets focused on AI and Customer Experience topics.,Analytics dashboard for content garden,https://docs.google.com/spreadsheets/d/1y-p4_Ax7PKwfKDRa3djxYLAjD9tnc3m42YmYwa44aE4/edit,,,,,coe,spreadsheet,dashboard,ai|content|cx|inventory|marketing|mktg|Marketing,coe,published,,0,0,2025-12-28T09:00:03.135Z
Core Systems Tips and Tricks,core-systems-tips-tricks,Internal resource for RevOps combining system tips with project management templates.,Step-by-step core systems tips guidance,https://docs.google.com/document/d/1uBiC3y-yMgVGLkk67u_PUFttIhb9d8Nfc_qmyVM39J8/edit,,,,,content,document,guide,process|ps|revops|systems|tips|Process,content,published,,0,0,2025-12-28T09:00:03.718Z
Cosabella - 48% of conversations resolved,metric-cosabella-48-of-conversations-resolved,"48% of conversations resolved | KPI: Conversation Volume, Resolution rates | Channel: All written channels | Product: Gladly Sidekick",Cosabella achieved 48% improvement,https://docs.google.com/presentation/d/1KB9jszRxchvFnDOoipDWHjIjfUU8rcFpd24CmBfwDQw/edit#slide=id.g248ef7faa19_0_168,,,,,coe,proof-point,customer-success-metric,cosabella|customer-success-metric|gladly-sidekick|proof-point,coe,published,,0,0,2025-12-28T15:27:13.919Z
Cross-Org Guides Looker Dashboard,cross-org-guides-looker-dashboard,Guide on how to interprate and use the Cross-Org Guides Looker Dashboard.,Tool for cross org guides,https://docs.google.com/document/d/1XANF2CXqwaMNooiz-raP4f0ukKQVyhcS2c_HEOkBffo/edit?tab=t.0#heading=h.a5cvact35pt3,,,,,coe,document,tool,tool|sales|customer-success|guides|insights-dashboards,coe,published,,0,0,2025-12-28T15:27:13.314Z
CS Introduction Template (QUINCE),cs-introduction-template-quince,"This document is the ""Quince + Gladly Success Introduction 6.25"" presentation, outlining the kickoff of the customer success partnership between the customer service platform Gladly and the brand Q...",Meeting resource for CS teams,https://docs.google.com/presentation/d/18Wh79N-YB3I71kxlLcTbgOiMvo4X2YIWwq25mSRFR4w/edit?slide=id.g3623cbcd2d1_4_143#slide=id.g3623cbcd2d1_4_143,,,,,coe,slides,meeting-asset,meeting-asset|customer-success|gladly-team,coe,published,,0,0,2025-12-28T15:27:13.314Z
CSM Compensation,csm-compensation,"This document is the CSM Compensation Guide for FY 2026, detailing the Customer Success Manager variable pay models for Q1, Q2, and Q3.",Best practice for csm compensation,https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/edit?tab=t.9t447anjdwmn#heading=h.obkpegulbcns,,,,,coe,tool,internal-best-practice,csm|customer-success,coe,published,,0,0,2025-12-28T08:20:23.496Z
CSM Compensation Guide (FY2026 Q2),csm-compensation-guide-fy2026-q2,"This document is the CSM Compensation Guide FY2026, which details the variable compensation models for Customer Success Managers across Q1, Q2, and Q3.",Best practice for csm compensation guide,https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/,,,,,coe,guide,internal-best-practice,csm|customer-success,coe,published,,0,0,2025-12-28T08:20:23.496Z
Customer AI Guide,customer-ai-guide,Comprehensive guide to Gladly Customer AI capabilities and implementation.,Step-by-step customer ai guide guidance,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,content,pdf,guide,capabilities|customer-ai|impl|implementation|overview|Implementation,content,published,,0,0,2025-12-28T09:00:03.718Z
Customer AI Guide with App Platform,customer-ai-guide-app-platform,Presentation introducing Sidekick Email and new App Platform features.,Step-by-step customer ai guide guidance,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,content,pdf,guide,app-platform|customer-ai|features|gladly|sidekick-email,content,published,,0,0,2025-12-28T09:00:03.718Z
Customer AI One Pager,customer-ai-one-pager,Infographic detailing Gladly Customer AI intelligence layer for CX Platform.,Quick reference customer ai one overview,https://drive.google.com/file/d/1dVUrfYkQUHbuUY2kiM3WnfnoZOlGLY1D/view,,,,,content,pdf,one-pager,customer-ai|efficiency|personalization|platform,content,published,,0,0,2025-12-28T09:00:03.718Z
Customer AI Video 30 sec,customer-ai-video-30sec,30-second video highlighting Gladly Customer AI platform integration.,Presentation on customer ai video,https://gladly.wistia.com/medias/9u1ti1dmce,,,,,content,video,deck,customer-ai|overview|platform|short-form|video|Video,content,published,,0,0,2025-12-28T09:00:03.914Z
Customer Asset Library,customer-asset-library,"This spreadsheet, titled ""FY26 Customer Meetings + BVAs,"" serves as a customer asset library to track and store materials from customer engagements such as Business Value Assessments (BVA), Executi...",Meeting resource for target audience,https://docs.google.com/spreadsheets/d/1F6hagYyIKi614gmOO7WedoCs2CItxOoCVepQTXQiWTQ/edit?gid=1403690311#gid=1403690311,,,,,coe,spreadsheet,meeting-asset,meeting-asset|sales,coe,published,,0,0,2025-12-28T15:27:13.314Z
Customer Asset Library,customer-asset-library-1,"Find prior customer executive decks, BVA models, QBR decks, and more here to learn from!",Tool for customer asset library,https://docs.google.com/spreadsheets/d/1F6hagYyIKi614gmOO7WedoCs2CItxOoCVepQTXQiWTQ/edit?gid=1403690311#gid=1403690311,,,,,coe,spreadsheet,tool,tool|sales|customer-success,coe,published,,0,0,2025-12-28T15:27:13.314Z
Customer BVA One Pager,customer-bva-one-pager,"Did you walk your customer through the BVA approach, and they asked for a summary?",Meeting resource for target audience,https://drive.google.com/open?authuser=0&id=1x7vzm8ERhvNdqXeSTBs1n7EgdHBscqNS,,,,,coe,document,meeting-asset,meeting-asset|sales|customer-success,coe,published,,0,0,2025-12-28T15:27:13.314Z
Customer Meeting Slides,customer-meeting-slides,CS slides for leading compelling actionable customer meetings based on outcomes.,Ready-to-use customer meeting slides template,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit,,,,,content,slides,template,csm|customer-meeting|outcomes|qbr|slides|QBR,content,published,,0,0,2025-12-28T09:00:03.135Z
Customer Meeting Template Megadeck,customer-meeting-megadeck,Customer Meeting Megadeck FY26 Q4 modular presentation for CSMs and AMs.,Ready-to-use customer meeting  me template,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit,,,,,content,slides,template,csm|customer-meeting|megadeck|modular|qbr|QBR,content,published,,0,0,2025-12-28T09:00:03.718Z
Customer Presentation Best Practices,customer-presentation-best-practices,"This document outlines a comprehensive set of best practices for creating and delivering effective customer presentations, emphasizing that slides should enhance, not replace, communication and be ...",Meeting resource for target audience,https://docs.google.com/document/d/1iSyUqK4DJ20SntBW9sgy7pQrHY2RGDbArf6Aqyiy6TY/edit?tab=t.g3xbr9tk8abx#heading=h.dnz75twoxhkz,,,,,coe,document,meeting-asset,meeting-asset|sales|customer-success|gladly-team,coe,published,,0,0,2025-12-28T15:27:13.314Z
CX Persona Flow A AI Forward,cx-persona-flow-a,CX persona outreach sequence with AI-forward messaging approach.,Messaging framework for target audience,https://web.outreach.io/sequences/2152/overview,,,,,content,document,messaging,ai-forward|cx-persona|outreach|sequence,content,published,,0,0,2025-12-28T09:00:03.718Z
CX Persona Flow B Pain Forward,cx-persona-flow-b,CX persona outreach sequence leading with common pain points.,Messaging framework for target audience,https://web.outreach.io/sequences/2155/overview,,,,,content,document,messaging,cx-persona|outreach|pain-points|sequence,content,published,,0,0,2025-12-28T09:00:03.718Z
Daily Optimization: Customer Success Patterns,daily-optimization-customer-success-patterns,"This guide reveals that consistent daily optimization—not technology, integrations, or budget—is the single most important predictor of Sidekick success, with frameworks for replicating top perform...",Best practice for daily optimization: customer,https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.t4y35o22uw75,,,,,coe,document,internal-best-practice,internal-best-practice|customer-success|gladly-sidekick,coe,published,,0,0,2025-12-28T15:27:13.314Z
Deal Desk SSOT,deal-desk-ssot,"The ""Deal Desk Operations (SSOT)"" document serves as the single source of truth for all sales and customer success personnel on the structure, responsibilities, and processes of the Gladly Deal Des...",Training on deal desk ssot,https://docs.google.com/document/d/1QSvu3dq3JFGTix066tZi-UVVpVRN1n5JpnRavFfCMmQ/edit?tab=t.kvo8s2ytjhp7#heading=h.1l4t046pu02f,,,,,enablement,guide,product-training,csm|customer-success|gladly|gladly-sidekick|gladly-team|impl|implementation|sales|Implementation,enablement,published,,0,0,2025-12-28T08:20:23.496Z
DealHub Certification,dealhub-certification,"This self-led program equips you to confidently create and manage quotes in DealHub by learning how it integrates with Salesforce, automates data sync, and streamlines the quote-to-contract process.",Best practice for dealhub certification,,,,https://classroom.google.com/w/NzM1NTM3MjkxNzQx/tc/NzY1MTYxNDE2NTEz,,coe,course,internal-best-practice,course|internal-ops|ps|sales,coe,published,,0,0,2025-12-28T07:49:21.783Z
DealHub Module 1: DealHub 101,dealhub-module-1-dealhub-101,DealHub certification module 1 - DealHub 101,Certification path for dealhub module 1:,https://drive.google.com/file/d/1r55AH8fD5ECdPrDF0O6vQuO1dywFbSe9/view,https://drive.google.com/file/d/1r55AH8fD5ECdPrDF0O6vQuO1dywFbSe9/view,,,,enablement,course,certification,course|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
DealHub Module 2: Simple Quote Generation,dealhub-module-2-simple-quote-generation,DealHub certification module 2 - Simple Quote Generation,Certification path for dealhub module 2:,https://drive.google.com/file/d/1VBXMHfoBXvjQWyg5ZvjCAimaazLemOM_/view,https://drive.google.com/file/d/1VBXMHfoBXvjQWyg5ZvjCAimaazLemOM_/view,,,,enablement,course,certification,course|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
